nohup: 입력 무시
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.

 _   _____  _  _
(_) / ____|(_)| |
 _ | |  __  _ | |__   ___   ___   _ __
| || | |_ || || '_ \ / __| / _ \ | '_ \
| || |__| || || |_) |\__ \| (_) || | | |
|_| \_____||_||_.__/ |___/ \___/ |_| |_|

workspace: /home/sky/문서/Github/DUSDi/exp_local/2026.01.02/213522_seed:1 moma2d dusdi_diayn 
| train          | F: 216000 | S: 216000 | E: 216 | L: 4000 | R: 0.0000 | FPS: 115.6528 | T: 0:27:59
| train          | F: 220000 | S: 220000 | E: 220 | L: 4000 | R: 0.0000 | FPS: 115.3958 | T: 0:28:34
| train          | F: 224000 | S: 224000 | E: 224 | L: 4000 | R: 0.0000 | FPS: 115.3564 | T: 0:29:08
| train          | F: 228000 | S: 228000 | E: 228 | L: 4000 | R: 0.0000 | FPS: 114.9270 | T: 0:29:43
| train          | F: 232000 | S: 232000 | E: 232 | L: 4000 | R: 0.0000 | FPS: 115.1812 | T: 0:30:18
| train          | F: 236000 | S: 236000 | E: 236 | L: 4000 | R: 0.0000 | FPS: 115.2227 | T: 0:30:53
| train          | F: 240000 | S: 240000 | E: 240 | L: 4000 | R: 0.0000 | FPS: 115.2097 | T: 0:31:27
| train          | F: 244000 | S: 244000 | E: 244 | L: 4000 | R: 0.0000 | FPS: 115.4054 | T: 0:32:02
| train          | F: 248000 | S: 248000 | E: 248 | L: 4000 | R: 0.0000 | FPS: 114.8583 | T: 0:32:37
| train          | F: 252000 | S: 252000 | E: 252 | L: 4000 | R: 0.0000 | FPS: 115.5591 | T: 0:33:11
| train          | F: 256000 | S: 256000 | E: 256 | L: 4000 | R: 0.0000 | FPS: 115.4019 | T: 0:33:46
| train          | F: 260000 | S: 260000 | E: 260 | L: 4000 | R: 0.0000 | FPS: 115.5637 | T: 0:34:21
| train          | F: 264000 | S: 264000 | E: 264 | L: 4000 | R: 0.0000 | FPS: 115.0628 | T: 0:34:55
| train          | F: 268000 | S: 268000 | E: 268 | L: 4000 | R: 0.0000 | FPS: 114.8280 | T: 0:35:30
| train          | F: 272000 | S: 272000 | E: 272 | L: 4000 | R: 0.0000 | FPS: 115.3881 | T: 0:36:05
| train          | F: 276000 | S: 276000 | E: 276 | L: 4000 | R: 0.0000 | FPS: 115.3512 | T: 0:36:40
| train          | F: 280000 | S: 280000 | E: 280 | L: 4000 | R: 0.0000 | FPS: 114.9424 | T: 0:37:14
| train          | F: 284000 | S: 284000 | E: 284 | L: 4000 | R: 0.0000 | FPS: 115.5944 | T: 0:37:49
| train          | F: 288000 | S: 288000 | E: 288 | L: 4000 | R: 0.0000 | FPS: 114.4310 | T: 0:38:24
| train          | F: 292000 | S: 292000 | E: 292 | L: 4000 | R: 0.0000 | FPS: 114.8298 | T: 0:38:59
| train          | F: 296000 | S: 296000 | E: 296 | L: 4000 | R: 0.0000 | FPS: 115.1722 | T: 0:39:34
| train          | F: 300000 | S: 300000 | E: 300 | L: 4000 | R: 0.0000 | FPS: 115.6931 | T: 0:40:08
| train          | F: 304000 | S: 304000 | E: 304 | L: 4000 | R: 0.0000 | FPS: 114.5924 | T: 0:40:43
| train          | F: 308000 | S: 308000 | E: 308 | L: 4000 | R: 0.0000 | FPS: 115.2937 | T: 0:41:18
| train          | F: 312000 | S: 312000 | E: 312 | L: 4000 | R: 0.0000 | FPS: 115.6248 | T: 0:41:52
| train          | F: 316000 | S: 316000 | E: 316 | L: 4000 | R: 0.0000 | FPS: 115.3347 | T: 0:42:27
| train          | F: 320000 | S: 320000 | E: 320 | L: 4000 | R: 0.0000 | FPS: 115.0848 | T: 0:43:02
| train          | F: 324000 | S: 324000 | E: 324 | L: 4000 | R: 0.0000 | FPS: 114.5849 | T: 0:43:37
| train          | F: 328000 | S: 328000 | E: 328 | L: 4000 | R: 0.0000 | FPS: 115.2096 | T: 0:44:11
| train          | F: 332000 | S: 332000 | E: 332 | L: 4000 | R: 0.0000 | FPS: 115.1368 | T: 0:44:46
| train          | F: 336000 | S: 336000 | E: 336 | L: 4000 | R: 0.0000 | FPS: 115.4833 | T: 0:45:21
| train          | F: 340000 | S: 340000 | E: 340 | L: 4000 | R: 0.0000 | FPS: 115.1269 | T: 0:45:56
| train          | F: 344000 | S: 344000 | E: 344 | L: 4000 | R: 0.0000 | FPS: 115.0990 | T: 0:46:30
| train          | F: 348000 | S: 348000 | E: 348 | L: 4000 | R: 0.0000 | FPS: 115.5767 | T: 0:47:05
| train          | F: 352000 | S: 352000 | E: 352 | L: 4000 | R: 0.0000 | FPS: 115.4873 | T: 0:47:40
| train          | F: 356000 | S: 356000 | E: 356 | L: 4000 | R: 0.0000 | FPS: 115.3788 | T: 0:48:14
| train          | F: 360000 | S: 360000 | E: 360 | L: 4000 | R: 0.0000 | FPS: 115.5404 | T: 0:48:49
| train          | F: 364000 | S: 364000 | E: 364 | L: 4000 | R: 0.0000 | FPS: 114.5803 | T: 0:49:24
| train          | F: 368000 | S: 368000 | E: 368 | L: 4000 | R: 0.0000 | FPS: 115.2646 | T: 0:49:58
| train          | F: 372000 | S: 372000 | E: 372 | L: 4000 | R: 0.0000 | FPS: 115.3961 | T: 0:50:33
| train          | F: 376000 | S: 376000 | E: 376 | L: 4000 | R: 0.0000 | FPS: 115.3106 | T: 0:51:08
| train          | F: 380000 | S: 380000 | E: 380 | L: 4000 | R: 0.0000 | FPS: 115.3555 | T: 0:51:42
| train          | F: 384000 | S: 384000 | E: 384 | L: 4000 | R: 0.0000 | FPS: 115.3241 | T: 0:52:17
| train          | F: 388000 | S: 388000 | E: 388 | L: 4000 | R: 0.0000 | FPS: 115.3917 | T: 0:52:52
| train          | F: 392000 | S: 392000 | E: 392 | L: 4000 | R: 0.0000 | FPS: 115.1679 | T: 0:53:27
| train          | F: 396000 | S: 396000 | E: 396 | L: 4000 | R: 0.0000 | FPS: 115.5775 | T: 0:54:01
| train          | F: 400000 | S: 400000 | E: 400 | L: 4000 | R: 0.0000 | FPS: 115.4525 | T: 0:54:36
| train          | F: 404000 | S: 404000 | E: 404 | L: 4000 | R: 0.0000 | FPS: 115.0332 | T: 0:55:11
| train          | F: 408000 | S: 408000 | E: 408 | L: 4000 | R: 0.0000 | FPS: 115.4345 | T: 0:55:45
| train          | F: 412000 | S: 412000 | E: 412 | L: 4000 | R: 0.0000 | FPS: 115.1313 | T: 0:56:20
| train          | F: 416000 | S: 416000 | E: 416 | L: 4000 | R: 0.0000 | FPS: 115.2472 | T: 0:56:55
| train          | F: 420000 | S: 420000 | E: 420 | L: 4000 | R: 0.0000 | FPS: 114.8037 | T: 0:57:30
| train          | F: 424000 | S: 424000 | E: 424 | L: 4000 | R: 0.0000 | FPS: 115.3092 | T: 0:58:04
| train          | F: 428000 | S: 428000 | E: 428 | L: 4000 | R: 0.0000 | FPS: 115.5432 | T: 0:58:39
| train          | F: 432000 | S: 432000 | E: 432 | L: 4000 | R: 0.0000 | FPS: 115.5539 | T: 0:59:13
| train          | F: 436000 | S: 436000 | E: 436 | L: 4000 | R: 0.0000 | FPS: 115.5620 | T: 0:59:48
| train          | F: 440000 | S: 440000 | E: 440 | L: 4000 | R: 0.0000 | FPS: 115.2173 | T: 1:00:23
| train          | F: 444000 | S: 444000 | E: 444 | L: 4000 | R: 0.0000 | FPS: 115.1498 | T: 1:00:58
| train          | F: 448000 | S: 448000 | E: 448 | L: 4000 | R: 0.0000 | FPS: 115.6714 | T: 1:01:32
| train          | F: 452000 | S: 452000 | E: 452 | L: 4000 | R: 0.0000 | FPS: 115.4987 | T: 1:02:07
| train          | F: 456000 | S: 456000 | E: 456 | L: 4000 | R: 0.0000 | FPS: 115.4401 | T: 1:02:41
| train          | F: 460000 | S: 460000 | E: 460 | L: 4000 | R: 0.0000 | FPS: 115.2497 | T: 1:03:16
| train          | F: 464000 | S: 464000 | E: 464 | L: 4000 | R: 0.0000 | FPS: 115.1956 | T: 1:03:51
| train          | F: 468000 | S: 468000 | E: 468 | L: 4000 | R: 0.0000 | FPS: 115.5665 | T: 1:04:25
| train          | F: 472000 | S: 472000 | E: 472 | L: 4000 | R: 0.0000 | FPS: 115.8478 | T: 1:05:00
| train          | F: 476000 | S: 476000 | E: 476 | L: 4000 | R: 0.0000 | FPS: 115.5092 | T: 1:05:35
| train          | F: 480000 | S: 480000 | E: 480 | L: 4000 | R: 0.0000 | FPS: 115.4379 | T: 1:06:09
| train          | F: 484000 | S: 484000 | E: 484 | L: 4000 | R: 0.0000 | FPS: 115.5611 | T: 1:06:44
| train          | F: 488000 | S: 488000 | E: 488 | L: 4000 | R: 0.0000 | FPS: 115.2706 | T: 1:07:19
| train          | F: 492000 | S: 492000 | E: 492 | L: 4000 | R: 0.0000 | FPS: 115.3845 | T: 1:07:53
| train          | F: 496000 | S: 496000 | E: 496 | L: 4000 | R: 0.0000 | FPS: 115.4448 | T: 1:08:28
| train          | F: 500000 | S: 500000 | E: 500 | L: 4000 | R: 0.0000 | FPS: 115.5779 | T: 1:09:02
| train          | F: 504000 | S: 504000 | E: 504 | L: 4000 | R: 0.0000 | FPS: 115.1922 | T: 1:09:37
| train          | F: 508000 | S: 508000 | E: 508 | L: 4000 | R: 0.0000 | FPS: 115.1552 | T: 1:10:12
| train          | F: 512000 | S: 512000 | E: 512 | L: 4000 | R: 0.0000 | FPS: 115.6507 | T: 1:10:47
| train          | F: 516000 | S: 516000 | E: 516 | L: 4000 | R: 0.0000 | FPS: 114.9642 | T: 1:11:21
| train          | F: 520000 | S: 520000 | E: 520 | L: 4000 | R: 0.0000 | FPS: 115.5577 | T: 1:11:56
| train          | F: 524000 | S: 524000 | E: 524 | L: 4000 | R: 0.0000 | FPS: 115.7070 | T: 1:12:30
| train          | F: 528000 | S: 528000 | E: 528 | L: 4000 | R: 0.0000 | FPS: 115.6776 | T: 1:13:05
| train          | F: 532000 | S: 532000 | E: 532 | L: 4000 | R: 0.0000 | FPS: 115.8005 | T: 1:13:40
| train          | F: 536000 | S: 536000 | E: 536 | L: 4000 | R: 0.0000 | FPS: 115.5969 | T: 1:14:14
| train          | F: 540000 | S: 540000 | E: 540 | L: 4000 | R: 0.0000 | FPS: 115.4917 | T: 1:14:49
| train          | F: 544000 | S: 544000 | E: 544 | L: 4000 | R: 0.0000 | FPS: 115.5186 | T: 1:15:23
| train          | F: 548000 | S: 548000 | E: 548 | L: 4000 | R: 0.0000 | FPS: 115.4640 | T: 1:15:58
| train          | F: 552000 | S: 552000 | E: 552 | L: 4000 | R: 0.0000 | FPS: 115.0720 | T: 1:16:33
| train          | F: 556000 | S: 556000 | E: 556 | L: 4000 | R: 0.0000 | FPS: 115.3135 | T: 1:17:08
| train          | F: 560000 | S: 560000 | E: 560 | L: 4000 | R: 0.0000 | FPS: 115.7033 | T: 1:17:42
| train          | F: 564000 | S: 564000 | E: 564 | L: 4000 | R: 0.0000 | FPS: 115.2917 | T: 1:18:17
| train          | F: 568000 | S: 568000 | E: 568 | L: 4000 | R: 0.0000 | FPS: 115.3396 | T: 1:18:52
| train          | F: 572000 | S: 572000 | E: 572 | L: 4000 | R: 0.0000 | FPS: 115.4173 | T: 1:19:26
| train          | F: 576000 | S: 576000 | E: 576 | L: 4000 | R: 0.0000 | FPS: 114.7746 | T: 1:20:01
| train          | F: 580000 | S: 580000 | E: 580 | L: 4000 | R: 0.0000 | FPS: 115.7778 | T: 1:20:36
| train          | F: 584000 | S: 584000 | E: 584 | L: 4000 | R: 0.0000 | FPS: 115.2469 | T: 1:21:10
| train          | F: 588000 | S: 588000 | E: 588 | L: 4000 | R: 0.0000 | FPS: 115.3776 | T: 1:21:45
| train          | F: 592000 | S: 592000 | E: 592 | L: 4000 | R: 0.0000 | FPS: 115.4832 | T: 1:22:20
| train          | F: 596000 | S: 596000 | E: 596 | L: 4000 | R: 0.0000 | FPS: 115.2474 | T: 1:22:54
| train          | F: 600000 | S: 600000 | E: 600 | L: 4000 | R: 0.0000 | FPS: 115.6310 | T: 1:23:29
| train          | F: 604000 | S: 604000 | E: 604 | L: 4000 | R: 0.0000 | FPS: 115.4229 | T: 1:24:04
| train          | F: 608000 | S: 608000 | E: 608 | L: 4000 | R: 0.0000 | FPS: 115.1966 | T: 1:24:38
| train          | F: 612000 | S: 612000 | E: 612 | L: 4000 | R: 0.0000 | FPS: 114.9941 | T: 1:25:13
| train          | F: 616000 | S: 616000 | E: 616 | L: 4000 | R: 0.0000 | FPS: 115.8077 | T: 1:25:48
| train          | F: 620000 | S: 620000 | E: 620 | L: 4000 | R: 0.0000 | FPS: 115.7484 | T: 1:26:22
| train          | F: 624000 | S: 624000 | E: 624 | L: 4000 | R: 0.0000 | FPS: 115.5914 | T: 1:26:57
| train          | F: 628000 | S: 628000 | E: 628 | L: 4000 | R: 0.0000 | FPS: 115.7330 | T: 1:27:31
| train          | F: 632000 | S: 632000 | E: 632 | L: 4000 | R: 0.0000 | FPS: 115.2839 | T: 1:28:06
| train          | F: 636000 | S: 636000 | E: 636 | L: 4000 | R: 0.0000 | FPS: 115.7811 | T: 1:28:41
| train          | F: 640000 | S: 640000 | E: 640 | L: 4000 | R: 0.0000 | FPS: 115.6636 | T: 1:29:15
| train          | F: 644000 | S: 644000 | E: 644 | L: 4000 | R: 0.0000 | FPS: 115.5709 | T: 1:29:50
| train          | F: 648000 | S: 648000 | E: 648 | L: 4000 | R: 0.0000 | FPS: 115.3485 | T: 1:30:24
| train          | F: 652000 | S: 652000 | E: 652 | L: 4000 | R: 0.0000 | FPS: 115.6565 | T: 1:30:59
| train          | F: 656000 | S: 656000 | E: 656 | L: 4000 | R: 0.0000 | FPS: 115.6130 | T: 1:31:34
| train          | F: 660000 | S: 660000 | E: 660 | L: 4000 | R: 0.0000 | FPS: 115.4178 | T: 1:32:08
| train          | F: 664000 | S: 664000 | E: 664 | L: 4000 | R: 0.0000 | FPS: 115.8511 | T: 1:32:43
| train          | F: 668000 | S: 668000 | E: 668 | L: 4000 | R: 0.0000 | FPS: 116.0296 | T: 1:33:17
| train          | F: 672000 | S: 672000 | E: 672 | L: 4000 | R: 0.0000 | FPS: 115.6293 | T: 1:33:52
| train          | F: 676000 | S: 676000 | E: 676 | L: 4000 | R: 0.0000 | FPS: 115.6714 | T: 1:34:26
| train          | F: 680000 | S: 680000 | E: 680 | L: 4000 | R: 0.0000 | FPS: 115.6856 | T: 1:35:01
| train          | F: 684000 | S: 684000 | E: 684 | L: 4000 | R: 0.0000 | FPS: 115.9186 | T: 1:35:36
| train          | F: 688000 | S: 688000 | E: 688 | L: 4000 | R: 0.0000 | FPS: 115.8579 | T: 1:36:10
| train          | F: 692000 | S: 692000 | E: 692 | L: 4000 | R: 0.0000 | FPS: 115.7356 | T: 1:36:45
| train          | F: 696000 | S: 696000 | E: 696 | L: 4000 | R: 0.0000 | FPS: 115.6569 | T: 1:37:19
| train          | F: 700000 | S: 700000 | E: 700 | L: 4000 | R: 0.0000 | FPS: 115.8061 | T: 1:37:54
| train          | F: 704000 | S: 704000 | E: 704 | L: 4000 | R: 0.0000 | FPS: 115.6479 | T: 1:38:28
| train          | F: 708000 | S: 708000 | E: 708 | L: 4000 | R: 0.0000 | FPS: 116.0312 | T: 1:39:03
| train          | F: 712000 | S: 712000 | E: 712 | L: 4000 | R: 0.0000 | FPS: 115.5205 | T: 1:39:37
| train          | F: 716000 | S: 716000 | E: 716 | L: 4000 | R: 0.0000 | FPS: 116.1354 | T: 1:40:12
| train          | F: 720000 | S: 720000 | E: 720 | L: 4000 | R: 0.0000 | FPS: 115.8578 | T: 1:40:46
| train          | F: 724000 | S: 724000 | E: 724 | L: 4000 | R: 0.0000 | FPS: 115.8076 | T: 1:41:21
| train          | F: 728000 | S: 728000 | E: 728 | L: 4000 | R: 0.0000 | FPS: 115.7746 | T: 1:41:55
| train          | F: 732000 | S: 732000 | E: 732 | L: 4000 | R: 0.0000 | FPS: 115.7049 | T: 1:42:30
| train          | F: 736000 | S: 736000 | E: 736 | L: 4000 | R: 0.0000 | FPS: 115.6667 | T: 1:43:05
| train          | F: 740000 | S: 740000 | E: 740 | L: 4000 | R: 0.0000 | FPS: 115.8490 | T: 1:43:39
| train          | F: 744000 | S: 744000 | E: 744 | L: 4000 | R: 0.0000 | FPS: 115.6826 | T: 1:44:14
| train          | F: 748000 | S: 748000 | E: 748 | L: 4000 | R: 0.0000 | FPS: 115.7195 | T: 1:44:48
| train          | F: 752000 | S: 752000 | E: 752 | L: 4000 | R: 0.0000 | FPS: 115.5135 | T: 1:45:23
| train          | F: 756000 | S: 756000 | E: 756 | L: 4000 | R: 0.0000 | FPS: 115.8576 | T: 1:45:57
| train          | F: 760000 | S: 760000 | E: 760 | L: 4000 | R: 0.0000 | FPS: 115.9724 | T: 1:46:32
| train          | F: 764000 | S: 764000 | E: 764 | L: 4000 | R: 0.0000 | FPS: 116.2549 | T: 1:47:06
| train          | F: 768000 | S: 768000 | E: 768 | L: 4000 | R: 0.0000 | FPS: 115.9804 | T: 1:47:41
| train          | F: 772000 | S: 772000 | E: 772 | L: 4000 | R: 0.0000 | FPS: 115.8749 | T: 1:48:15
| train          | F: 776000 | S: 776000 | E: 776 | L: 4000 | R: 0.0000 | FPS: 115.7184 | T: 1:48:50
| train          | F: 780000 | S: 780000 | E: 780 | L: 4000 | R: 0.0000 | FPS: 115.8563 | T: 1:49:24
| train          | F: 784000 | S: 784000 | E: 784 | L: 4000 | R: 0.0000 | FPS: 116.0449 | T: 1:49:59
| train          | F: 788000 | S: 788000 | E: 788 | L: 4000 | R: 0.0000 | FPS: 116.0565 | T: 1:50:33
| train          | F: 792000 | S: 792000 | E: 792 | L: 4000 | R: 0.0000 | FPS: 115.8667 | T: 1:51:08
| train          | F: 796000 | S: 796000 | E: 796 | L: 4000 | R: 0.0000 | FPS: 116.0384 | T: 1:51:42
| train          | F: 800000 | S: 800000 | E: 800 | L: 4000 | R: 0.0000 | FPS: 115.9320 | T: 1:52:17
| train          | F: 804000 | S: 804000 | E: 804 | L: 4000 | R: 0.0000 | FPS: 116.0914 | T: 1:52:51
| train          | F: 808000 | S: 808000 | E: 808 | L: 4000 | R: 0.0000 | FPS: 115.5960 | T: 1:53:26
| train          | F: 812000 | S: 812000 | E: 812 | L: 4000 | R: 0.0000 | FPS: 115.6500 | T: 1:54:01
| train          | F: 816000 | S: 816000 | E: 816 | L: 4000 | R: 0.0000 | FPS: 115.9722 | T: 1:54:35
| train          | F: 820000 | S: 820000 | E: 820 | L: 4000 | R: 0.0000 | FPS: 115.9432 | T: 1:55:10
| train          | F: 824000 | S: 824000 | E: 824 | L: 4000 | R: 0.0000 | FPS: 115.6773 | T: 1:55:44
| train          | F: 828000 | S: 828000 | E: 828 | L: 4000 | R: 0.0000 | FPS: 115.2648 | T: 1:56:19
| train          | F: 832000 | S: 832000 | E: 832 | L: 4000 | R: 0.0000 | FPS: 115.8594 | T: 1:56:53
| train          | F: 836000 | S: 836000 | E: 836 | L: 4000 | R: 0.0000 | FPS: 116.1450 | T: 1:57:28
| train          | F: 840000 | S: 840000 | E: 840 | L: 4000 | R: 0.0000 | FPS: 115.9237 | T: 1:58:02
| train          | F: 844000 | S: 844000 | E: 844 | L: 4000 | R: 0.0000 | FPS: 115.7414 | T: 1:58:37
| train          | F: 848000 | S: 848000 | E: 848 | L: 4000 | R: 0.0000 | FPS: 115.8485 | T: 1:59:11
| train          | F: 852000 | S: 852000 | E: 852 | L: 4000 | R: 0.0000 | FPS: 116.0643 | T: 1:59:46
| train          | F: 856000 | S: 856000 | E: 856 | L: 4000 | R: 0.0000 | FPS: 115.3715 | T: 2:00:20
